iter	Passed	Remaining
656	3374	1761
657	3379	1756
658	3385	1751
659	3389	1746
660	3395	1741
661	3400	1736
662	3405	1731
663	3410	1725
664	3415	1720
665	3420	1715
666	3425	1710
667	3430	1704
668	3435	1699
669	3439	1694
670	3446	1689
671	3452	1684
672	3457	1679
673	3462	1674
674	3467	1669
675	3472	1664
676	3477	1658
677	3482	1653
678	3487	1648
679	3493	1644
680	3498	1638
681	3503	1633
682	3508	1628
683	3513	1623
684	3518	1617
685	3524	1613
686	3530	1608
687	3535	1603
688	3542	1598
689	3546	1593
690	3553	1588
691	3558	1583
692	3564	1579
693	3571	1574
694	3576	1569
695	3582	1564
696	3588	1559
697	3593	1554
698	3599	1550
699	3605	1545
700	3610	1540
701	3616	1535
702	3622	1530
703	3627	1525
704	3633	1520
705	3638	1515
706	3642	1509
707	3649	1505
708	3655	1500
709	3660	1495
710	3668	1491
711	3674	1486
712	3679	1481
713	3685	1476
714	3690	1471
715	3696	1466
716	3701	1461
717	3706	1455
718	3713	1451
719	3718	1446
720	3723	1440
721	3730	1436
722	3735	1431
723	3741	1426
724	3747	1421
725	3752	1416
726	3758	1411
727	3763	1406
728	3768	1401
729	3774	1395
730	3779	1390
731	3783	1385
732	3788	1379
733	3794	1374
734	3799	1369
735	3804	1364
736	3810	1359
737	3815	1354
738	3820	1349
739	3826	1344
740	3838	1341
741	3845	1337
742	3850	1331
743	3856	1326
744	3862	1321
745	3867	1316
746	3872	1311
747	3877	1306
748	3882	1301
749	3887	1295
750	3892	1290
751	3898	1285
752	3903	1280
753	3908	1275
754	3915	1270
755	3921	1265
756	3926	1260
757	3931	1255
758	3937	1250
759	3943	1245
760	3948	1240
761	3955	1235
762	3961	1230
763	3967	1225
764	3974	1220
765	3979	1215
766	3985	1210
767	3991	1205
768	3996	1200
769	4003	1195
770	4008	1190
771	4014	1185
772	4021	1180
773	4026	1175
774	4031	1170
775	4037	1165
776	4042	1160
777	4048	1155
778	4054	1150
779	4060	1145
780	4066	1140
781	4071	1134
782	4076	1129
783	4083	1124
784	4088	1119
785	4093	1114
786	4099	1109
787	4105	1104
788	4110	1099
789	4141	1100
790	4170	1102
791	4202	1103
792	4226	1103
793	4256	1104
794	4286	1105
795	4315	1105
796	4349	1107
797	4379	1108
798	4412	1109
799	4443	1110
800	4476	1112
801	4518	1115
802	4548	1115
803	4580	1116
804	4611	1117
805	4638	1116
806	4669	1116
807	4702	1117
808	4728	1116
809	4763	1117
810	4790	1116
811	4822	1116
812	4853	1116
813	4885	1116
814	4962	1126
815	5077	1144
816	5108	1144
817	5138	1143
818	5169	1142
819	5277	1158
820	5318	1159
821	5348	1158
822	5372	1155
823	5396	1152
824	5419	1149
825	5474	1153
826	5525	1155
827	5556	1154
828	5583	1151
829	5609	1148
830	5633	1145
831	5658	1142
832	5683	1139
833	5706	1135
834	5738	1133
835	5763	1130
836	5796	1128
837	5822	1125
838	5850	1122
839	5874	1119
840	5904	1116
841	5938	1114
842	5974	1112
843	6003	1109
844	6027	1105
845	6055	1102
846	6081	1098
847	6106	1094
848	6133	1090
849	6157	1086
850	6184	1082
851	6208	1078
852	6232	1074
853	6255	1069
854	6280	1065
855	6305	1060
856	6332	1056
857	6368	1053
858	6397	1050
859	6428	1046
860	6456	1042
861	6482	1037
862	6507	1033
863	6531	1028
864	6556	1023
865	6580	1018
866	6607	1013
867	6633	1008
868	6660	1003
869	6686	999
870	6712	994
871	6737	989
872	6764	984
873	6793	979
874	6821	974
875	6852	969
876	6879	964
877	6904	959
878	6933	954
879	6964	949
880	6991	944
881	7052	943
882	7077	937
883	7105	932
884	7132	926
885	7157	920
886	7180	914
887	7206	908
888	7233	903
889	7261	897
890	7288	891
891	7314	885
892	7339	879
893	7364	873
894	7389	866
895	7415	860
